dataSet,num_nodes,num_edges,sputnik,rode,tcgnn
fullb,199188,5953632,0.000208,0.764714,1000000000.0
c-big,345242,1343126,0.000198,0.336467,109.622
3dtube,45331,1629474,0.000234,0.184826,8.1561
bcsstk37,25504,583240,0.000224,0.060099,0.388
pkustk08,22210,1624440,0.000221,0.201034,3.2954
TSOPF_FS_b39_c19,76217,998359,0.000304,0.159386,0.4318
af_shell5,504856,9046865,0.000211,1.218746,1000000000.0
crankseg_1,52805,5333507,0.000211,0.660637,1000000000.0
bbmat,38745,1771722,0.000218,0.09959,0.7836
t3dh,79172,2215638,0.000214,0.28001,1.2363
x104,108385,5138004,0.000208,0.615027,1000000000.0
c-73,169423,724348,0.000227,0.147869,0.5745
shipsec1,140875,3977139,0.000218,0.453888,1.5108
Trefethen_20000,20001,287233,0.00023,0.039235,0.5232
net4-1,88344,1265035,0.000221,0.175891,3.2534
copter1,17223,114143,0.000214,0.016995,0.198
pkustk01,22045,500712,0.000211,0.05704,0.7955
Freescale1,3428756,18920347,0.000176,3.253645,1000000000.0
ramage02,16831,1441591,0.000195,0.176579,1.0521
circuit_4,80210,307604,0.000208,0.044893,25.7766
s4dkt3m2,90450,1921955,0.000173,0.227462,0.4625
c-71,76639,468096,0.00031,0.0744,20.8131
finance256,37377,167936,0.000202,0.027168,0.2445
kron_g500-logn20,1048577,44620272,0.000211,11.868838,1000000000.0
nd12k,36001,7128473,0.000224,0.916474,1000000000.0
3D_51448_3D,51449,1056610,0.00023,0.057968,35.4185
Cube_Coup_dt6,2164761,64685452,0.000214,6.690752,1000000000.0
ex19,12006,259879,0.00023,0.023661,0.3805
conf5_4-8x8-05,49153,1916928,0.000285,0.128448,0.8016
nasasrb,54871,1366097,0.000208,0.153946,0.4758
email-Enron,36693,183831,0.000208,0.031008,0.7949
wy2010,86205,213793,0.00023,0.052739,0.5987
lowThrust_12,18459,117423,0.000211,0.026275,0.4252
NotreDame_www,325730,929849,0.000176,0.142061,1.4654
filter3D,106438,1406808,0.000205,0.181264,1.2185
lowThrust_5,16263,103701,0.000291,0.024688,0.415
net100,29921,1031560,0.00023,0.137846,3.9012
CoupCons3D,416801,22322336,0.00017,1.339386,1000000000.0
barrier2-3,113077,3805068,0.000214,0.311034,39.3036
raefsky3,21201,1488768,0.000166,0.086301,0.4409
vsp_bump2_e18_aa01_model1_crew1,56439,300801,0.000202,0.05143,0.691
Ge99H100,112986,4282190,0.00023,0.541248,3.8589
net50,16321,480760,0.00024,0.062365,3.0462
vsp_sctap1-2b_and_seymourl,40175,140831,0.000234,0.031661,3.7678
nv2010,84539,208499,0.000221,0.053325,0.5182
af_shell1,504856,9046865,0.000186,1.221066,1000000000.0
thread,29737,2249892,0.000211,0.264765,1.8847
hood,220543,5494489,0.000208,0.825254,1000000000.0
inlet,11731,328323,0.000282,0.022922,0.3035
SiO,33402,675528,0.00023,0.087219,1.8651
c-62,41732,300537,0.000224,0.039178,14.0071
crankseg_2,63839,7106348,0.000218,0.894243,1000000000.0
vsp_vibrobox_scagr7-2c_rlfddd,77329,435586,0.000282,0.079098,0.8116
Bump_2911,2911420,65320659,0.000202,8.188563,1000000000.0
brack2,62632,366559,0.000278,0.057379,0.7151
c-54,31794,211743,0.000218,0.02799,3.806
kim1,38416,933195,0.000224,0.046752,0.3904
