dataSet,rows_,columns_,nonzeros_,sputnik,Sputnik_gflops,rode,ours_gflops
thread, 29737, 29737, 2249892, 0.000189, 3050700.924719, 0.134701,4275.938646
hood, 220543, 220543, 5494489, 1000000.000000, 0.001407, 0.369558,3806.135002
inlet, 11731, 11731, 328323, 0.724109, 116.074669, 0.022352,3760.320758
SiO, 33402, 33402, 675528, 5.702525, 30.326070, 0.043024,4019.504599
c-62, 41732, 41732, 300537, 8.869610, 8.674279, 0.027328,2815.334949
crankseg_2, 63839, 63839, 7106348, 1000000.000000, 0.001819, 0.438269,4150.934470
vsp_vibrobox_scagr7-2c_rlfddd, 77329, 77329, 435586, 30.347538, 3.674434, 0.045421,2455.043048
Bump_2911, 2911420, 2911420, 65320659, 1000000.000000, 0.016722, 2.913952,5738.628616
brack2, 62632, 62632, 366559, 19.943335, 4.705286, 0.038326,2448.419438
c-54, 31794, 31794, 211743, 5.154288, 10.516721, 0.021776,2489.263815
kim1, 38416, 38416, 933195, 7.538211, 31.691593, 0.048022,4974.718327
raefsky4, 19780, 19780, 674195, 2.043446, 84.462173, 0.039091,4415.160486
trdheim, 22099, 22099, 978711, 2.557757, 97.956935, 0.054822,4570.212699
boneS10, 914899, 914899, 28191660, 1000000.000000, 0.007217, 1.727459,4177.849868
TSOPF_RS_b678_c1, 18697, 18697, 4396289, 0.000237, 4752744.657814, 0.297248,3786.232243
consph, 83335, 83335, 3046907, 0.000314, 2487271.101709, 0.192362,4054.905818
human_gene2, 14341, 14341, 9041364, 1000000.000000, 0.002315, 0.609424,3797.994684
gearbox, 153747, 153747, 4617075, 0.000266, 4450192.824989, 0.272176,4342.672333
c-63, 44235, 44235, 239469, 9.956518, 6.157179, 0.024803,2471.619110
barrier2-9, 115626, 115626, 3897557, 0.000227, 4391613.384544, 0.318109,3136.582833
598a, 110972, 110972, 741934, 62.500988, 3.038914, 0.098032,1937.480705
wikipedia-20060925, 2983495, 2983495, 37269096, 1000000.000000, 0.009541, 6.640212,1436.835046
Zd_Jac2, 22836, 22836, 1642833, 0.000227, 1851079.379049, 0.111699,3765.159009
fxm4_6, 18893, 18893, 258368, 1.837328, 35.999130, 0.021286,3107.252004
TSOPF_FS_b39_c30, 120217, 120217, 1575639, 0.000253, 1595583.845124, 0.135264,2982.046769
pkustk12, 94654, 94654, 3803485, 0.000384, 2535656.730723, 0.243562,3997.724409
lhr71c, 70305, 70305, 1528092, 0.000326, 1198503.551139, 0.136691,2861.863455
ted_A_unscaled, 10606, 10606, 424587, 0.600150, 181.111723, 0.035027,3103.139048
TSOPF_RS_b162_c4, 20375, 20375, 812749, 2.159059, 96.367783, 0.056010,3714.787010
c-60, 43641, 43641, 171109, 9.685716, 4.522526, 0.022272,1966.770140
audikw_1, 943696, 943696, 39297771, 1000000.000000, 0.010060, 2.561104,3928.083096
lowThrust_6, 16929, 16929, 108376, 1.472906, 18.836411, 0.012582,2205.005009
t3dh_a, 79172, 79172, 2215638, 0.000298, 1905925.112515, 0.139814,4056.830522
FullChip, 2987013, 2987013, 26621990, 1000000.000000, 0.006815, 3.406765,2000.498852
caidaRouterLevel, 192245, 192245, 609066, 187.124695, 0.833246, 0.099734,1563.361221
netherlands_osm, 2216689, 2216689, 2441238, 0.000243, 2569724.324646, 0.736858,848.137990
af_shell10, 1508066, 1508066, 27090195, 1000000.000000, 0.006935, 1.199696,5780.706197
Dubcova3, 146690, 146690, 1891669, 0.000221, 2193239.371622, 0.116502,4156.714767
c-61, 43619, 43619, 176817, 9.681485, 4.675435, 0.022541,2008.143076
web-NotreDame, 325730, 325730, 1497134, 0.000166, 2303283.102881, 0.194240,1973.158506
af_shell2, 504856, 504856, 9046865, 1000000.000000, 0.002316, 0.413200,5605.027728
TSOPF_RS_b162_c3, 15375, 15375, 610299, 1.243562, 125.636358, 0.039830,3922.545333
a2nnsnsl, 80017, 80017, 196115, 32.465954, 1.546403, 0.035475,1415.226395
web-Google, 916429, 916429, 5105039, 1000000.000000, 0.001307, 1.139635,1146.761705
wikipedia-20061104, 3148441, 3148441, 39383235, 1000000.000000, 0.010082, 7.072381,1425.560699
dielFilterV3clx, 420409, 420409, 16653308, 1000000.000000, 0.004263, 1.047213,4071.041610
luxembourg_osm, 114600, 114600, 119666, 66.552368, 0.460307, 0.043610,702.471362
gas_sensor, 66918, 66918, 885141, 22.778986, 9.947594, 0.054995,4120.288827
kkt_power, 2063495, 2063495, 8130343, 1000000.000000, 0.002081, 1.187005,1753.462061
coAuthorsCiteseer, 227321, 227321, 814134, 261.604279, 0.796693, 0.106176,1962.951270
msdoor, 415864, 415864, 10328399, 1000000.000000, 0.002644, 0.684272,3864.063021
Ga3As3H12, 61350, 61350, 3016148, 0.000301, 2566934.393848, 0.175578,4397.678673
c-50, 22402, 22402, 108013, 2.567069, 10.771557, 0.020026,1380.798943
pkustk10, 80677, 80677, 2194830, 0.000262, 2141297.596069, 0.143725,3909.391304
t3dh_e, 79172, 79172, 2215638, 0.000291, 1947813.589923, 0.139558,4064.272256
ibm_matrix_2, 51449, 51449, 1056610, 0.000310, 871430.959654, 0.057923,4669.841627
troll, 213454, 213454, 6099282, 1000000.000000, 0.001561, 0.338966,4606.404122
3Dspectralwave, 680944, 680944, 17165766, 1000000.000000, 0.004394, 1.242464,3536.872055
Stanford, 281904, 281904, 2312497, 0.000269, 2202378.112721, 0.390675,1515.323254
bone010, 986704, 986704, 36326514, 1000000.000000, 0.009300, 2.207997,4211.775939
c-65, 48067, 48067, 204297, 11.749292, 4.451334, 0.024858,2103.985579
af_0_k101, 503626, 503626, 9027150, 1000000.000000, 0.002311, 0.408067,5663.161657
as-caida, 31380, 31380, 106762, 5.010905, 5.454318, 0.021984,1243.225590
rim, 22561, 22561, 1014951, 0.000339, 766000.758294, 0.060061,4326.073908
ckt11752_tr_0, 49703, 49703, 333029, 12.568880, 6.783057, 0.030886,2760.290118
circuit5M_dc, 3523318, 3523318, 19194193, 1000000.000000, 0.004914, 2.669267,1840.847283
coAuthorsDBLP, 299068, 299068, 977676, 452.679108, 0.552897, 0.140800,1777.592737
bcsstk17, 10975, 10975, 219812, 0.629434, 89.400810, 0.020912,2690.888990
TSOPF_FS_b300_c3, 84415, 84415, 6578753, 1000000.000000, 0.001684, 0.449955,3742.952305
TSOPF_FS_b162_c1, 10799, 10799, 305732, 0.612675, 127.746958, 0.021987,3559.679849
2D_54019_highK, 54020, 54020, 996414, 14.875194, 17.148145, 0.055197,4621.318517
rajat30, 643995, 643995, 6175377, 1000000.000000, 0.001581, 0.659776,2396.110898
cont-201, 80596, 80596, 239596, 32.952492, 1.861364, 0.037987,1614.664332
citationCiteseer, 268496, 268496, 1156647, 0.000227, 1303264.184819, 0.186464,1587.982841
OPF_10000, 43888, 43888, 255799, 9.801715, 6.680927, 0.025910,2527.345799
144, 144650, 144650, 1074393, 0.000230, 1193769.957775, 0.114381,2404.639645
cant, 62452, 62452, 2034917, 0.000221, 2359324.005618, 0.127418,4088.436381
3Dspectralwave2, 292009, 292009, 7307376, 1000000.000000, 0.001871, 0.518230,3609.761778
F1, 343792, 343792, 13590452, 1000000.000000, 0.003479, 1.053891,3301.247578
bmw7st_1, 141348, 141348, 3740507, 0.000230, 4156118.741883, 0.230250,4158.833762
srb1, 54925, 54925, 1508538, 0.000326, 1183167.080273, 0.085712,4505.620428
G2_circuit, 150103, 150103, 438388, 114.111816, 0.983486, 0.062371,1799.345330
rajat29, 643995, 643995, 4866270, 0.000202, 6179390.525245, 0.548739,2270.231709
vsp_msc10848_300sep_100in_1Kout, 21997, 21997, 1221028, 0.000214, 1457943.862013, 0.101427,3081.847629
ship_003, 121729, 121729, 4103881, 0.000227, 4624091.123792, 0.249411,4212.294916
conf6_0-8x8-80, 49153, 49153, 1916928, 0.000256, 1916928.048426, 0.128986,3804.561008
rajat26, 51033, 51033, 249302, 13.236119, 4.821754, 0.028352,2251.033756
TSOPF_RS_b39_c7, 14099, 14099, 252446, 1.028541, 62.832875, 0.020637,3131.598708
qa8fm, 66128, 66128, 863353, 22.233204, 9.940914, 0.052957,4173.559601
Si5H12, 19897, 19897, 379247, 2.039043, 47.614112, 0.029050,3342.119505
ldoor, 952204, 952204, 23737339, 1000000.000000, 0.006077, 1.635834,3714.778185
TSOPF_FS_b300, 29215, 29215, 2203949, 0.000250, 2260460.591010, 0.125418,4498.658360
coPapersDBLP, 540487, 540487, 15245729, 1000000.000000, 0.003903, 1.048173,3723.533727
mult_dcop_03, 25188, 25188, 193216, 3.243725, 15.248919, 0.024182,2045.425424
af_shell6, 504856, 504856, 9046865, 1000000.000000, 0.002316, 0.412742,5611.242201
cont-300, 180896, 180896, 539396, 165.707870, 0.833306, 0.088755,1555.800364
HTC_336_9129, 226341, 226341, 554881, 259.364716, 0.547683, 0.129536,1096.602793
Fault_639, 638803, 638803, 14626683, 1000000.000000, 0.003744, 0.737536,5076.946538
auto, 448696, 448696, 3314611, 0.000224, 3788126.755966, 0.492314,1723.576955
c-59, 41283, 41283, 260909, 8.678563, 7.696286, 0.024851,2687.705384
ML_Laplace, 377003, 377003, 27689972, 1000000.000000, 0.007089, 1.647773,4301.947987
Ga41As41H72, 268097, 268097, 9378286, 1000000.000000, 0.002401, 0.556106,4317.239670
amazon0505, 410236, 410236, 4878874, 0.000224, 5575855.851074, 0.692224,1804.317365
oilpan, 73753, 73753, 1835470, 0.000234, 2011473.893102, 0.116957,4017.554713
3D_28984_Tetra, 28985, 28985, 599170, 4.303504, 35.642470, 0.035251,4351.270854
pkustk02, 10801, 10801, 410400, 0.622960, 168.650316, 0.024381,4309.226910
c-69, 67459, 67459, 345714, 23.115856, 3.828661, 0.038019,2327.844387
lowThrust_13, 18477, 18477, 117580, 1.751814, 17.182459, 0.013050,2306.620976
c-66b, 49990, 49990, 274498, 12.707132, 5.530082, 0.027114,2591.743319
s3dkq4m2, 90450, 90450, 2455670, 0.000294, 2135365.170008, 0.124403,5053.338718
hollywood-2009, 1139906, 1139906, 57515616, 1000000.000000, 0.014724, 4.661094,3158.914366
RM07R, 381690, 381690, 37464962, 1000000.000000, 0.009591, 2.305789,4159.544126
c-57, 37834, 37834, 221515, 7.288064, 7.780920, 0.023149,2449.709658
helm2d03, 392258, 392258, 1567096, 0.000330, 1217161.959599, 0.187987,2134.063296
t3dl_a, 20361, 20361, 265113, 2.131616, 31.839190, 0.020490,3312.359783
skirt, 12599, 12599, 104559, 0.821325, 32.590156, 0.012570,2129.511143
Serena, 1391350, 1391350, 32961525, 1000000.000000, 0.008438, 2.013670,4190.432860
darcy003, 389875, 389875, 1167685, 0.000221, 1353837.651118, 0.268122,1114.894734
t3dl, 20361, 20361, 265113, 2.133190, 31.815692, 0.021398,3171.682403
transient, 178867, 178867, 961790, 162.077682, 1.519137, 0.138979,1771.619394
nh2010, 48838, 48838, 117275, 12.114365, 2.478248, 0.023568,1273.862870
ct20stif, 52330, 52330, 1375396, 0.000259, 1358415.830685, 0.083082,4238.018867
coPapersCiteseer, 434103, 434103, 16036720, 1000000.000000, 0.004105, 1.038982,3951.366601
cbuckle, 13682, 13682, 345098, 0.977510, 90.377649, 0.022438,3937.227699
roadNet-CA, 1971282, 1971282, 5533206, 1000000.000000, 0.001417, 0.745968,1898.875985
viscorocks, 37763, 37763, 1162244, 0.000256, 1162244.029361, 0.060835,4890.827372
TSOPF_FS_b162_c3, 30799, 30799, 904612, 4.867072, 47.581108, 0.053354,4340.488077
Dubcova1, 16130, 16130, 134569, 1.342490, 25.661028, 0.013485,2554.703396
venturiLevel3, 4026820, 4026820, 8054237, 1000000.000000, 0.002062, 1.557984,1323.431249
mult_dcop_01, 25188, 25188, 193276, 3.243226, 15.256002, 0.023930,2067.675813
bauru5727, 40367, 40367, 145019, 8.288656, 4.478997, 0.021261,1746.165005
barrier2-11, 115626, 115626, 3897557, 0.000314, 3181679.287672, 0.318064,3137.024616
TSOPF_RS_b300_c3, 42139, 42139, 4413449, 0.000234, 4836656.247193, 0.288752,3912.848793
delaunay_n22, 4194305, 4194305, 12582869, 1000000.000000, 0.003221, 1.758787,1831.497606
fem_hifreq_circuit, 491101, 491101, 20239237, 1000000.000000, 0.005181, 1.664454,3112.878601
tsyl201, 20686, 20686, 1237821, 0.000310, 1020883.336245, 0.075213,4213.141565
delaunay_n17, 131073, 131073, 393176, 87.066803, 1.156044, 0.058458,1721.812975
conf5_4-8x8-20, 49153, 49153, 1916928, 0.000269, 1825645.728778, 0.128707,3812.790501
adaptive, 6815745, 6815745, 13624320, 1000000.000000, 0.003488, 2.981322,1169.892576
Si34H36, 97570, 97570, 2626974, 0.000256, 2626974.066363, 0.157238,4276.979059
shermanACb, 18511, 18511, 145149, 1.756662, 21.152695, 0.020899,1777.969646
net75, 23121, 23121, 756160, 2.763859, 70.038648, 0.056634,3418.058682
wikipedia-20070206, 3566908, 3566908, 45030389, 1000000.000000, 0.011528, 8.254214,1396.593173
delaunay_n20, 1048577, 1048577, 3145686, 0.000218, 3700806.993920, 0.447398,1799.952030
flickr, 820879, 820879, 9837214, 1000000.000000, 0.002518, 1.254410,2007.579331
CurlCurl_4, 2380516, 2380516, 14448191, 1000000.000000, 0.003699, 1.178701,3137.977684
shipsec8, 114920, 114920, 3384159, 0.000240, 3609769.428545, 0.201654,4296.185253
2D_27628_bjtcai, 27629, 27629, 442898, 3.908125, 29.011838, 0.029226,3879.540160
pkustk06, 43165, 43165, 1307466, 0.000278, 1202267.581387, 0.082086,4077.548621
parabolic_fem, 525826, 525826, 2100225, 0.000218, 2470852.897844, 0.402934,1334.355143
jan99jac120sc, 41375, 41375, 260202, 8.708416, 7.649119, 0.025792,2582.650154
cond-mat-2005, 40422, 40422, 175693, 8.315948, 5.408572, 0.023264,1933.348020
sinc15, 11533, 11533, 568526, 0.704522, 206.583665, 0.040832,3564.426248
msc23052, 23053, 23053, 588933, 2.750026, 54.823799, 0.039194,3846.721056
vibrobox, 12329, 12329, 177578, 0.790483, 57.509089, 0.022013,2065.160636
gyro_k, 17362, 17362, 519260, 1.573370, 84.487815, 0.028371,4685.404923
GitHub, 37700, 37700, 615706, 7.255341, 21.724788, 0.048726,3234.811799
artist, 50515, 50515, 1638396, 0.000323, 1297739.434050, 0.132941,3155.008548
ell, 203769, 203769, 672479, 210.215408, 0.818944, 0.093187,1847.406319
amazon, 403394, 403394, 9068096, 1000000.000000, 0.002321, 1.027856,2258.519333
amazon0505, 410236, 410236, 4878874, 0.000198, 6295321.375478, 0.691837,1805.327165
dd, 334925, 334925, 1686092, 0.000227, 1899821.912745, 0.150067,2876.308460
yelp, 716847, 716847, 13954819, 1000000.000000, 0.003572, 2.446493,1460.226538
comamazon, 334863, 334863, 1851744, 0.000173, 2743324.439820, 0.457267,1036.694684
IGB_small, 1000000, 1000000, 13068130, 1000000.000000, 0.003345, 3.384019,988.600003
reddit, 232965, 232965, 114848857, 1000000.000000, 0.029401, 9.839338,2988.138798
ogb, 2449029, 2449029, 126167053, 1000000.000000, 0.032299, 33.947311,951.438103
AmazonProducts, 1569960, 1569960, 264339468, 1000000.000000, 0.067671, 37.334206,1812.571070
