dataSet,num_nodes,num_edges,sputnik,rode,tcgnn
crystk03,24697,887937,3.103558,0.072022,0.1878
crystm02,13966,168435,0.995859,0.012778,0.0967
crystm03,24697,304233,3.08847,0.020038,0.1199
ct2010,67579,168176,23.013561,0.023258,0.1311
ct20stif,52330,1375396,13.837293,0.093997,0.6354
Cube_Coup_dt0,2164761,64685452,0.000576,5.062813,10000000.0
Cube_Coup_dt6,2164761,64685452,0.000662,5.060851,10000000.0
CurlCurl_4,2380516,14448191,0.000717,0.959971,10000000.0
cyl6,13682,363961,0.957059,0.020835,0.605
darcy003,389875,1167685,765.1297,0.127066,0.4416
dawson5,51538,531157,13.404921,0.033379,0.1618
dblp-2010,326187,807700,535.594604,0.095242,0.6828
dc3,116836,766396,68.771996,0.047846,7763.0962
debr,1048577,2097149,5533.41748,0.301197,0.8565
delaunay_n16,65537,196575,21.655556,0.021456,0.0823
delaunay_n17,131073,393176,86.527885,0.038342,0.1327
delaunay_n18,262145,786396,345.980927,0.083104,0.2469
delaunay_n19,524289,1572823,1383.484253,0.158403,0.4594
delaunay_n20,1048577,3145686,5891.39209,0.307981,0.8824
delaunay_n21,2097153,6291408,0.000704,0.603693,10000000.0
delaunay_n22,4194305,12582869,0.000637,1.200634,10000000.0
denormal,89401,622812,40.275063,0.041453,0.1658
dielFilterV2clx,607233,12958252,1856.516357,0.770669,10000000.0
dielFilterV2real,1157457,24848204,6742.942871,1.493283,10000000.0
dielFilterV3clx,420409,16653308,890.178589,1.197405,10000000.0
Dubcova1,16130,134569,1.324954,0.013123,0.096
Dubcova3,146690,1891669,108.406845,0.098576,0.272
e40r0100,17282,553562,1.525741,0.045267,0.2595
EAT_RS,23220,325592,2.73119,0.023066,1.3441
ecology1,1000001,2998000,5032.628418,0.299894,1.1672
ecology2,1000000,2997995,5032.362305,0.29943,1.1649
email-Enron,36693,183831,6.801203,0.024698,4.2858
Emilia_923,923137,20964171,4289.186035,1.036624,10000000.0
engine,143572,2424822,103.846313,0.134544,1.0085
enron,69245,276143,24.140713,0.029674,2.7983
eu-2005,862665,19235140,3745.237061,1.194234,10000000.0
ex11,16615,1096948,1.424605,0.065859,0.3531
ex19,12006,259879,0.739085,0.020253,0.1377
F1,343792,13590452,595.278137,1.04649,10000000.0
F2,71506,2682895,25.830816,0.201245,0.6987
Fault_639,638803,14626683,2054.109131,0.733168,10000000.0
fcondp2,201823,5748069,205.204254,0.444518,10000000.0
fem_hifreq_circuit,491101,20239237,1214.338623,1.684726,10000000.0
filter3D,106438,1406808,57.091206,0.07503,0.4793
finance256,37377,167936,7.058156,0.018986,0.0994
Flan_1565,1564795,59485419,12322.185547,4.974522,10000000.0
flickr,820879,9837214,3408.040527,0.549523,10000000.0
foldoc,13357,120238,0.915267,0.016531,0.3354
Freescale1,3428756,18920347,0.000672,1.345891,10000000.0
fullb,199188,5953632,199.885529,0.418358,10000000.0
FullChip,2987013,26621990,0.000765,1.769789,10000000.0
fxm4_6,18893,258368,1.813722,0.02168,0.2912
G2_circuit,150103,438388,113.455093,0.042563,0.1966
G3_circuit,1585479,4623152,12649.772461,0.456272,1.7907
Ga10As10H30,113082,3114357,64.452057,0.118474,1.4223
Ga19As19H42,133124,4508981,89.340714,0.162362,1.8054
Ga3As3H12,61350,3016148,19.006195,0.090026,3.8182
Ga41As41H72,268097,9378286,362.05304,0.339357,10000000.0
GaAsH6,61350,1721579,18.99424,0.059462,3.3658
gas_sensor,66918,885141,22.588886,0.044358,0.2571
Ge87H76,112986,4002590,64.375221,0.158445,1.6306
Ge99H100,112986,4282190,64.38269,0.170019,1.68
gearbox,153747,4617075,119.145493,0.337792,0.6893
Geo_1438,1437961,32297325,10406.626953,1.515536,10000000.0
gridgena,48963,280523,12.099446,0.022368,0.0742
gsm_106857,589447,11174185,1749.140869,0.776416,10000000.0
gupta1,31803,1098006,5.121664,0.081578,0.3184
gupta2,62065,2155175,19.458435,0.165498,0.4551
gupta3,16784,4670105,1.438022,0.104384,1143.011
gyro,17362,519260,1.537946,0.043005,0.2559
gyro_k,17362,519260,1.538048,0.041805,0.2517
gyro_m,17362,178896,1.532054,0.020029,0.1932
H2O,67025,1141880,22.663013,0.060029,0.4543
halfb,224618,6306219,254.181885,0.417888,10000000.0
Hamrle3,1447361,5514242,10542.288086,0.487494,10000000.0
helm2d03,392258,1567096,774.513489,0.139674,0.4295
helm3d01,32227,230335,5.252528,0.019261,0.132
hollywood-2009,1139906,57515616,6541.305664,2.522307,10000000.0
hood,220543,5494489,244.981979,0.443258,10000000.0
Hook_1498,1498024,31207734,11293.954102,1.578605,10000000.0
HTC_336_4438,226341,565431,257.934052,0.071587,0.497
HTC_336_9129,226341,554881,257.937958,0.069933,0.4946
hugetric-00000,5824555,8733523,0.000627,1.429885,10000000.0
human_gene1,22284,12345963,2.685062,0.277917,10000000.0
human_gene2,14341,9041364,1.178352,0.201862,10000000.0
HV15R,2017170,283073458,20485.408203,11.15448,10000000.0
