dataSet,num_nodes,num_edges,sputnik,cusparse,rode,gespmm,advisor,tcgnn,dtc
c-58,37596,295076,0.275501,0.106378,0.071232,0.0946,0.1786,2.3451,0.2130527943372726
c-59,41283,260909,0.205251,0.110429,0.082134,0.098,0.195,1.1341,0.2101919949054718
c-60,43641,171109,0.18393,0.109648,0.076272,0.0952,0.179,0.7572,0.2394495904445648
c-61,43619,176817,0.204282,0.107802,0.076723,0.0955,0.1872,1.0264,0.2477823942899704
c-62,41732,300537,0.282214,0.112435,0.074458,0.1017,0.1893,2.3111,0.2592576146125793
c-62ghs,41732,300537,0.288918,0.115334,0.080358,0.1016,0.1912,2.2983,0.2541856169700622
c-63,44235,239469,0.217488,0.11439,0.080454,0.1006,0.1978,1.2306,0.2517696022987366
c-64,51036,384438,0.189834,0.132602,0.08032,0.1172,0.2123,0.1492,0.2591808140277862
c-64b,51036,384438,0.197066,0.130675,0.083798,0.1173,0.2129,0.1478,0.2603040039539337
c-65,48067,204297,0.232102,0.118128,0.073328,0.1035,0.2061,1.2386,0.2616607844829559
c-66,49990,274498,0.23735,0.122336,0.07904,0.1082,0.2024,1.0938,0.2434016019105911
c-66b,49990,274498,0.238038,0.122794,0.078669,0.1083,0.202,1.1002,0.2463776171207428
c-67b,57976,294955,0.214246,0.14017,0.089824,0.124,0.2217,0.2137,0.2786688208580017
c-68,64811,315408,0.285882,0.160115,0.103206,0.1421,0.2692,1.0486,0.320601612329483
c-69,67459,345714,0.346864,0.169146,0.110131,0.1477,0.2833,1.8564,0.3300672173500061
c-70,68925,363955,0.351856,0.173027,0.111363,0.1528,0.2868,1.9049,0.335068792104721
c-71,76639,468096,0.470899,0.196138,0.131939,0.1859,0.3358,3.5458,0.3695743978023529
c-73,169423,724348,0.640445,0.388,0.281795,0.3845,0.5692,0.2627,0.7338303923606873
c-73b,169423,724348,0.640842,0.388861,0.280614,0.3838,0.5694,0.2628,0.7372704148292542
ca-AstroPh,18773,198110,0.07175,0.064669,0.034403,0.0502,0.0925,0.2979,0.1953088045120239
ca-CondMat,23134,93497,0.071843,0.072662,0.033987,0.0367,0.0828,0.1353,0.2105056047439575
cage14,1505786,27130349,12.260208,7.335792,5.199216,8.4418,9.7966,10000000.0,14.113171577453612
caidaRouterLevel,192245,609066,0.672246,0.365968,0.247619,0.3439,0.6054,0.3069,0.95071679353714
cant,62452,2034917,0.413581,0.319011,0.291306,0.393,0.5418,0.2659,0.4228096008300781
case39,40217,526139,0.14095,0.901459,0.079472,0.1047,0.1903,0.0816,0.1709631979465484
case9,14455,75801,0.040707,0.262928,0.015533,0.0242,0.0377,0.0222,0.097334399819374
c-big,345242,1343126,1.997869,0.814416,0.612429,0.8622,1.2364,22.5637,1.5831135511398315
cbuckle,13682,345098,0.079245,0.066746,0.038518,0.0638,0.1049,0.1725,0.1003136038780212
ccc,49153,73728,0.144957,0.118272,0.063958,0.1089,0.1457,0.0576,0.2755551934242248
cfd1,70657,949510,0.357552,0.208685,0.124582,0.238,0.3186,0.2234,0.4658368229866028
Chebyshev4,68122,5377761,3.716553,1.001485,0.585011,1.1191,1.9646,10000000.0,0.9322463870048524
circuit_4,80210,307604,0.549818,0.188915,0.133411,0.1708,0.304,4.206,0.3575968146324157
circuit5M_dc,3523318,19194193,16.018734,10.272825,7.462381,10.6937,13.5008,10000000.0,16.661739349365234
citationCiteseer,268496,1156647,1.051565,0.603782,0.437693,0.5742,0.9377,0.8964,1.3277599811553955
cit-Patents,3774769,16518948,16.913002,12.22697,8.949049,11.6474,14.1456,10000000.0,15.317312240600586
ckt11752_dc_1,49703,333029,0.289299,0.135376,0.084806,0.1303,0.2094,1.3609,0.2613632082939148
ckt11752_tr_0,49703,333029,0.28551,0.134874,0.084557,0.1305,0.2102,1.3557,0.2541280090808868
