dataSet,rows_,columns_,nonzeros_,sputnik,Sputnik_gflops,cusparse,cuSPARSE_gflops,rode,ours_gflops
c-70, 68925, 68925, 363955, 0.351856, 529.605758, 0.173027, 1076.969136, 0.111363, 1673.308293
c-71, 76639, 76639, 468096, 0.470899, 508.952132, 0.196138, 1221.923578, 0.131939, 1816.481820
c-73, 169423, 169423, 724348, 0.640445, 579.075939, 0.388000, 955.840632, 0.281795, 1316.084117
c-73b, 169423, 169423, 724348, 0.640842, 578.717405, 0.388861, 953.724773, 0.280614, 1321.622041
ca-AstroPh, 18773, 18773, 198110, 0.071750, 1413.682942, 0.064669, 1568.489325, 0.034403, 2948.339779
ca-CondMat, 23134, 23134, 93497, 0.071843, 666.318641, 0.072662, 658.806525, 0.033987, 1408.485066
cage14, 1505786, 1505786, 27130349, 12.260208, 1132.993709, 7.335792, 1893.556838, 5.199216, 2671.698671
caidaRouterLevel, 192245, 192245, 609066, 0.672246, 463.880190, 0.365968, 852.101280, 0.247619, 1259.360309
cant, 62452, 62452, 2034917, 0.413581, 2519.163139, 0.319011, 3265.958897, 0.291306, 3576.579170
case39, 40217, 40217, 526139, 0.140950, 1911.191152, 0.901459, 298.830122, 0.079472, 3389.661390
case9, 14455, 14455, 75801, 0.040707, 953.396728, 0.262928, 147.607370, 0.015533, 2498.590764
c-big, 345242, 345242, 1343126, 1.997869, 344.207055, 0.814416, 844.384797, 0.612429, 1122.874206
cbuckle, 13682, 13682, 345098, 0.079245, 2229.675380, 0.066746, 2647.218448, 0.038518, 4587.163033
ccc, 49153, 49153, 73728, 0.144957, 260.413690, 0.118272, 319.168846, 0.063958, 590.207630
cfd1, 70657, 70657, 949510, 0.357552, 1359.659895, 0.208685, 2329.585649, 0.124582, 3902.229593
Chebyshev4, 68122, 68122, 5377761, 3.716553, 740.851338, 1.001485, 2749.331492, 0.585011, 4706.599891
circuit_4, 80210, 80210, 307604, 0.549818, 286.446351, 0.188915, 833.671636, 0.133411, 1180.509900
circuit5M_dc, 3523318, 3523318, 19194193, 16.018734, 613.495879, 10.272825, 956.643009, 7.462381, 1316.929120
citationCiteseer, 268496, 268496, 1156647, 1.051565, 563.163840, 0.603782, 980.822311, 0.437693, 1353.011253
cit-Patents, 3774769, 3774769, 16518948, 16.913002, 500.070973, 12.226970, 691.725050, 8.949049, 945.094950
ckt11752_dc_1, 49703, 49703, 333029, 0.289299, 589.392735, 0.135376, 1259.535276, 0.084806, 2010.589377
ckt11752_tr_0, 49703, 49703, 333029, 0.285510, 597.214146, 0.134874, 1264.226965, 0.084557, 2016.524369
cnr-2000, 325558, 325558, 3216152, 1.389549, 1185.039237, 0.769213, 2140.720728, 0.690278, 2385.515547
CO, 221120, 221120, 3943588, 1.252659, 1611.864596, 0.711779, 2836.718212, 0.445798, 4529.215604
coAuthorsCiteseer, 227321, 227321, 814134, 0.820294, 508.154899, 0.425216, 980.293782, 0.298659, 1395.693153
coAuthorsDBLP, 299068, 299068, 977676, 1.100592, 454.818946, 0.560851, 892.518584, 0.390102, 1283.176158
cond-mat-2003, 31164, 31164, 120029, 0.094989, 646.969417, 0.071165, 863.556830, 0.040163, 1530.128235
cond-mat-2005, 40422, 40422, 175693, 0.125078, 719.187431, 0.091581, 982.245338, 0.052294, 1720.161634
conf5_4-8x8-05, 49153, 49153, 1916928, 0.307014, 3196.811471, 0.302864, 3240.619967, 0.307078, 3196.145045
conf5_4-8x8-10, 49153, 49153, 1916928, 0.307341, 3193.416467, 0.303254, 3236.448240, 0.307651, 3190.194300
conf5_4-8x8-15, 49153, 49153, 1916928, 0.313683, 3128.848266, 0.303418, 3234.707215, 0.308522, 3181.194191
