dataSet,rows_,nonzeros_,sputnik,cusparse,rode
blockqp1,60013,340022,2.17839,0.201411,0.119606
bloweya,30005,80005,0.44976,0.07881,0.059808
bloweybl,30004,70001,0.445955,0.077939,0.06143
bmw3_2,227363,5757996,1.880621,1.612883,1.466781
bmw7st_1,141348,3740507,1.166912,1.058458,0.947811
bmwcra_1,148771,5396386,1.406598,1.489651,1.236445
bone010,986704,36326514,9.56439,10.536697,8.250387
boneS01,127225,3421188,1.128301,0.961066,0.855098
boneS10,914899,28191660,9.493897,7.983658,6.883792
boyd1,93280,652246,5.219389,0.422342,0.327437
boyd2,466317,890091,6.193475,1.281357,0.975171
brack2,62632,366559,0.305571,0.202275,0.123203
brainpc2,27608,96601,0.716829,0.080102,0.056624
bratu3d,27793,88627,0.090224,0.081747,0.039098
Bump_2911,2911420,65320659,21.705364,19.743799,19.437143
bundle1,10582,390741,0.147472,0.117658,0.086467
bundle_adj,513352,10360701,3.89423,2.821478,2.32319
c-42,10472,60378,0.074275,0.039997,0.032659
c-43,11126,67400,0.12127,0.040666,0.035126
c-45,13207,93829,0.119146,0.048541,0.036374
c-46,14914,72655,0.093786,0.047478,0.035798
c-47,15344,113372,0.11617,0.058621,0.042378
c-48,18355,92217,0.080733,0.058051,0.040099
c-49,21133,89087,0.099142,0.065152,0.045296
c-50,22402,108013,0.131219,0.069056,0.050246
c-51,23197,113123,0.116998,0.072438,0.052205
c-52,23949,113332,0.118746,0.074355,0.05151
c-53,30236,201224,0.25424,0.106384,0.064474
c-54,31794,211743,0.176307,0.110854,0.074656
c-55,32781,218115,0.195613,0.11312,0.081894
c-56,35911,208405,0.175245,0.112614,0.066
c-57,37834,221515,0.525126,0.119696,0.072147
c-58,37596,295076,0.328237,0.133949,0.094726
c-59,41283,260909,0.235421,0.135773,0.091571
c-60,43641,171109,0.198829,0.12409,0.072726
c-61,43619,176817,0.219062,0.124986,0.078163
c-62,41732,300537,0.341949,0.14055,0.098899
c-62ghs,41732,300537,0.343667,0.141062,0.099005
c-63,44235,239469,0.247584,0.136378,0.090454
c-64,51036,384438,0.582621,0.178435,0.11369
c-64b,51036,384438,0.58265,0.177274,0.114163
c-65,48067,204297,0.26376,0.13905,0.08281
c-66,49990,274498,0.381974,0.151453,0.098086
c-66b,49990,274498,0.381162,0.151638,0.09768
c-67b,57976,294955,0.312454,0.17119,0.114899
c-68,64811,315408,0.325686,0.19441,0.126531
c-69,67459,345714,0.391914,0.206714,0.134416
c-70,68925,363955,0.399085,0.214074,0.141882
c-71,76639,468096,0.535264,0.248944,0.176822
c-73,169423,724348,2.173955,0.527581,0.436342
c-73b,169423,724348,2.172,0.527245,0.436093
ca-AstroPh,18773,198110,0.094669,0.094886,0.06
ca-CondMat,23134,93497,0.084557,0.073661,0.039475
cage14,1505786,27130349,12.241776,7.328227,5.193197
caidaRouterLevel,192245,609066,0.82375,0.562723,0.397162
cant,62452,2034917,0.607747,0.564627,0.493622
case39,40217,526139,1.064038,0.190259,0.163642
case9,14455,75801,0.31113,0.046368,0.03953
c-big,345242,1343126,2.217888,1.12887,0.849558
cbuckle,13682,345098,0.100848,0.107357,0.082234
ccc,49153,73728,0.158381,0.120118,0.068086
cfd1,70657,949510,0.450074,0.409146,0.175066
Chebyshev4,68122,5377761,3.718912,1.011914,0.586256
circuit_4,80210,307604,0.544077,0.188582,0.129578
circuit5M_dc,3523318,19194193,16.012215,10.272598,7.470106
citationCiteseer,268496,1156647,1.383424,1.085226,0.740998
cit-Patents,3774769,16518948,16.907427,12.228358,8.960227
ckt11752_dc_1,49703,333029,0.283837,0.134774,0.08448
ckt11752_tr_0,49703,333029,0.283347,0.135446,0.084509
cnr-2000,325558,3216152,1.384413,0.765485,0.690048
CO,221120,3943588,1.537155,1.251312,1.267702
coAuthorsCiteseer,227321,814134,1.035098,0.615059,0.472512
coAuthorsDBLP,299068,977676,1.400512,0.855856,0.65145
cond-mat-2003,31164,120029,0.113542,0.09193,0.049939
cond-mat-2005,40422,175693,0.152877,0.120275,0.072288
conf5_4-8x8-05,49153,1916928,0.295389,0.302634,0.305958
conf5_4-8x8-10,49153,1916928,0.29584,0.30295,0.306202
conf5_4-8x8-15,49153,1916928,0.295014,0.302701,0.30649
conf5_4-8x8-20,49153,1916928,0.294742,0.30345,0.305859
conf6_0-8x8-20,49153,1916928,0.295488,0.302275,0.306442
conf6_0-8x8-30,49153,1916928,0.295718,0.302998,0.30671
conf6_0-8x8-80,49153,1916928,0.2952,0.303354,0.306211
consph,83335,3046907,0.726746,1.097587,0.661549
cont-201,80596,239596,0.313206,0.201629,0.125664
cont-300,180896,539396,0.706336,0.421203,0.299501
coPapersCiteseer,434103,16036720,4.874749,4.525497,4.216122
coPapersDBLP,540487,15245729,6.054067,4.771475,4.504483
copter1,17223,114143,0.069158,0.061459,0.033958
CoupCons3D,416801,22322336,3.562822,3.306752,3.023482
crankseg_1,52805,5333507,1.053539,1.479005,0.941891
crankseg_2,63839,7106348,1.381235,1.962742,1.237606
crplat2,18011,489478,0.119517,0.151869,0.104614
crystk02,13966,491274,0.111366,0.149152,0.094432
crystk03,24697,887937,0.205485,0.260061,0.179693
crystm02,13966,168435,0.069974,0.072125,0.038394
crystm03,24697,304233,0.129856,0.122726,0.067558
ct2010,67579,168176,0.254496,0.162301,0.102858
ct20stif,52330,1375396,0.413082,0.396598,0.347523
Cube_Coup_dt0,2164761,64685452,18.232138,20.239681,14.844439
Cube_Coup_dt6,2164761,64685452,18.2292,20.659683,14.882935
CurlCurl_0,11084,62213,0.039968,0.039446,0.017766
CurlCurl_4,2380516,14448191,12.776611,6.574125,4.650349
cvxqp3,17501,69981,0.060765,0.053786,0.026752
cyl6,13682,363961,0.094234,0.114845,0.084259
darcy003,389875,1167685,1.587584,1.237885,0.890768
dawson5,51538,531157,0.291312,0.20073,0.113846
dblp-2010,326187,807700,1.354243,0.668003,0.533856
dc3,116836,766396,5.889859,0.33967,0.240963
de2010,24116,58028,0.078074,0.066531,0.0372
debr,1048577,2097149,3.834285,3.208403,2.325648
delaunay_n15,32769,98274,0.11415,0.087654,0.048189
delaunay_n16,65537,196575,0.259619,0.172477,0.105805
delaunay_n17,131073,393176,0.583267,0.340778,0.240397
delaunay_n18,262145,786396,1.241894,0.674109,0.505779
delaunay_n19,524289,1572823,2.543434,1.335683,1.026416
delaunay_n20,1048577,3145686,5.136131,2.6696,2.055469
delaunay_n21,2097153,6291408,10.309094,5.312176,4.108983
delaunay_n22,4194305,12582869,20.74073,10.628201,8.211565
denormal,89401,622812,0.431379,0.243658,0.151075
dictionary28,52653,89038,0.159859,0.116454,0.06631
dielFilterV2clx,607233,12958252,6.304787,3.831952,4.084521
dielFilterV2real,1157457,24848204,12.314883,7.669463,7.955945
dielFilterV3clx,420409,16653308,5.626365,4.836973,4.672675
Dubcova1,16130,134569,0.069971,0.065062,0.031494
Dubcova3,146690,1891669,1.025549,0.78528,0.517206
e40r0100,17282,553562,0.102608,0.099997,0.068394
EAT_RS,23220,325592,0.111734,0.084406,0.05439
ecology1,1000001,2998000,3.76984,1.900173,1.41569
ecology2,1000000,2997995,3.770694,1.899328,1.415862
email-Enron,36693,183831,0.195146,0.116458,0.077907
Emilia_923,923137,20964171,6.806336,6.09097,6.193165
engine,143572,2424822,1.155014,0.784954,0.630848
enron,69245,276143,0.243306,0.141504,0.095363
eu-2005,862665,19235140,5.134793,3.125312,2.773296
ex11,16615,1096948,0.140861,0.165981,0.114368
ex19,12006,259879,0.05983,0.059882,0.030195
F1,343792,13590452,4.475558,4.302,3.911978
F2,71506,2682895,0.721578,0.81936,0.651242
Fault_639,638803,14626683,4.96256,4.136169,4.235814
fcondp2,201823,5748069,1.57721,1.631462,1.359363
fem_hifreq_circuit,491101,20239237,4.158608,3.232083,3.336042
filter3D,106438,1406808,0.833552,0.462256,0.346976
finance256,37377,167936,0.141171,0.10872,0.059094
Flan_1565,1564795,59485419,14.57177,18.167057,13.639742
flickr,820879,9837214,4.06896,2.777805,2.439408
foldoc,13357,120238,0.04496,0.041702,0.021587
Freescale1,3428756,18920347,15.494458,11.251482,8.578345
fullb,199188,5953632,1.742282,1.78959,1.514182
fxm4_6,18893,258368,0.104374,0.094333,0.06224
G2_circuit,150103,438388,0.587283,0.321082,0.22487
G3_circuit,1585479,4623152,6.280345,3.570333,2.631795
Ga10As10H30,113082,3114357,0.91777,0.914739,0.89032
Ga19As19H42,133124,4508981,1.255315,1.299715,1.22296
Ga3As3H12,61350,3016148,0.689056,0.83015,0.725123
Ga41As41H72,268097,9378286,2.846822,2.765091,2.600227
GaAsH6,61350,1721579,0.497174,0.504598,0.472333
gas_sensor,66918,885141,0.42103,0.277472,0.161488
Ge87H76,112986,4002590,1.175882,1.163085,1.062675
Ge99H100,112986,4282190,1.23679,1.239229,1.114275
gearbox,153747,4617075,1.331146,1.26089,1.144746
Geo_1438,1437961,32297325,11.008768,9.617267,9.618662
gridgena,48963,280523,0.21223,0.136995,0.076384
gsm_106857,589447,11174185,6.924329,7.726979,7.036057
gupta1,31803,1098006,0.597693,0.311395,0.248336
gupta2,62065,2155175,0.935843,0.590659,0.504605
gupta3,16784,4670105,1.39344,1.18736,0.954918
gyro,17362,519260,0.137171,0.15911,0.11727
gyro_k,17362,519260,0.136477,0.158726,0.1172
gyro_m,17362,178896,0.083664,0.081955,0.043229
H2O,67025,1141880,0.423424,0.365741,0.361779
halfb,224618,6306219,1.817703,1.864141,1.61112
Hamrle3,1447361,5514242,5.738304,3.501917,2.679984
hangGlider_4,15562,79088,0.483299,0.051974,0.042832
hangGlider_5,16012,82070,0.510189,0.05361,0.044304
helm2d03,392258,1567096,1.704921,1.148598,0.86583
helm3d01,32227,230335,0.147322,0.120166,0.063376
hi2010,25017,62063,0.081917,0.072886,0.039466
hollywood-2009,1139906,57515616,26.709076,18.895529,16.464554
hood,220543,5494489,1.75071,1.613606,1.66641
Hook_1498,1498024,31207734,14.57314,9.411978,8.63697
HTC_336_4438,226341,565431,1.106147,0.629904,0.46729
HTC_336_9129,226341,554881,1.101226,0.632342,0.466589
human_gene1,22284,12345963,2.302662,3.536541,3.145923
human_gene2,14341,9041364,1.697974,2.557264,2.181283
ibm_matrix_2,51449,1056610,0.447754,0.199498,0.106445
igbt3,10939,234006,0.055949,0.054694,0.030173
in-2004,1382909,16917053,6.395721,3.173472,2.820637
inlet,11731,328323,0.06513,0.06527,0.036806
inline_1,503713,18660027,6.333526,5.487763,4.964845
jan99jac120sc,41375,260202,0.142896,0.108099,0.062029
juba40k,40338,144945,0.128803,0.096262,0.058093
k3plates,11108,378927,0.063766,0.069802,0.04249
kim1,38416,933195,0.218122,0.182275,0.092746
kkt_power,2063495,8130343,10.515632,5.925251,4.686067
kron_g500-logn16,65537,2456398,1.332698,0.743485,0.672941
kron_g500-logn17,131073,5114375,2.565334,1.602874,1.488762
kron_g500-logn18,262145,10583222,4.995625,3.48569,3.213021
kron_g500-logn19,524289,21781478,9.849981,8.514887,7.355568
kron_g500-logn20,1048577,44620272,19.505915,21.429632,15.929767
laminar_duct3D,67174,3833077,0.549642,0.618902,0.41239
language,399131,1216334,1.816211,0.954979,0.687891
largebasis,440021,5560100,2.296813,1.522723,1.14152
ldoor,952204,23737339,7.830749,7.023024,7.484515
lhr34,35153,764014,0.17671,0.15103,0.101427
lhr34c,35153,764014,0.177235,0.151485,0.101363
lhr71,70305,1528092,0.408704,0.279206,0.219882
lhr71c,70305,1528092,0.408246,0.278339,0.220141
li,22696,1350309,0.211501,0.215968,0.167034
Long_Coup_dt0,1470153,44279572,13.338608,13.736353,10.719034
Long_Coup_dt6,1470153,44279572,13.340548,13.823786,10.720195
lowThrust_10,18261,116074,0.330198,0.067786,0.047024
lowThrust_11,18369,117002,0.328774,0.067219,0.047341
lowThrust_12,18459,117423,0.337907,0.067994,0.047053
lowThrust_13,18477,117580,0.335331,0.066477,0.04727
lowThrust_4,13563,84240,0.20673,0.049779,0.041632
lowThrust_5,16263,103701,0.275203,0.060602,0.042912
lowThrust_6,16929,108376,0.287574,0.061472,0.044515
lowThrust_7,17379,110607,0.303517,0.064666,0.045606
lowThrust_8,17703,113139,0.311939,0.064307,0.046006
lowThrust_9,18045,114806,0.325126,0.066077,0.046179
lp1,534389,1088904,12.463437,1.176918,0.861779
luxembourg_osm,114600,119666,0.396077,0.247894,0.16081
m14b,214766,1679018,1.581498,0.953165,0.551286
mario001,38435,114643,0.134278,0.108768,0.05609
mario002,389875,1167685,1.587686,1.237606,0.891021
mark3jac040sc,18290,113435,0.061843,0.051011,0.026755
mark3jac060sc,27450,170695,0.092758,0.075987,0.041162
me2010,69519,167738,0.258816,0.16545,0.106774
memplus,17759,126150,0.072451,0.051686,0.034979
mip1,66464,5209641,3.605446,1.287155,1.003773
ML_Laplace,377003,27689972,3.163248,3.721869,3.296518
mouse_gene,45102,14506196,3.373424,4.263062,3.991264
msc10848,10849,620313,0.132275,0.190486,0.110582
msc23052,23053,588933,0.159718,0.184282,0.132243
msdoor,415864,10328399,3.428307,2.97225,3.146979
m_t1,97579,4925574,1.114733,1.370646,1.012394
mult_dcop_01,25188,193276,0.991914,0.085005,0.05527
mult_dcop_02,25188,193276,0.987232,0.085709,0.057456
mult_dcop_03,25188,193216,0.985616,0.085334,0.055302
NACA0015,1039184,3114818,5.313783,4.226221,3.128768
nasasrb,54871,1366097,0.425136,0.38752,0.348931
nd12k,36001,7128473,1.94207,1.997632,1.156877
nd24k,72001,14393817,4.157584,4.061702,2.566851
nd6k,18001,3457658,0.81487,0.969347,0.559347
net100,29921,1031560,0.264595,0.322624,0.212451
net125,36721,1306960,0.346749,0.40503,0.283216
net150,43521,1582360,0.415293,0.48208,0.344259
net4-1,88344,1265035,0.746205,0.454707,0.338112
net50,16321,480760,0.121674,0.158928,0.093747
net75,23121,756160,0.187274,0.244138,0.15752
netherlands_osm,2216689,2441238,7.975299,4.476483,3.132797
nh2010,48838,117275,0.16769,0.123574,0.073888
NLR,4163764,12487976,21.553959,17.064602,13.078791
NotreDame_www,325730,929849,1.01632,0.866256,0.383968
nv2010,84539,208499,0.327782,0.194947,0.131146
ohne2,181344,11063545,1.78903,1.682723,1.56951
oilpan,73753,1835470,0.542899,0.5168,0.530576
olafu,16147,515651,0.139654,0.154154,0.108842
onetone2,36058,227628,0.121872,0.097334,0.055117
OPF_10000,43888,255799,0.18217,0.139782,0.079078
opt1,15450,973052,0.193312,0.272448,0.171427
p2p-Gnutella31,62587,147892,0.184208,0.119728,0.081046
parabolic_fem,525826,2100225,2.454163,2.30327,1.768624
patents,3774769,14970767,16.515873,11.500602,8.405882
pattern1,19243,4671337,0.944595,1.328925,0.908963
pcrystk02,13966,491274,0.111517,0.147114,0.09439
pcrystk03,24697,887937,0.206304,0.256237,0.17736
pct20stif,52330,1375396,0.412765,0.395318,0.346902
pdb1HYS,36418,2190591,0.505312,0.603677,0.420816
pds10,16559,83108,0.059011,0.052637,0.02703
PFlow_742,742794,18940627,6.440698,5.334298,5.472957
pkustk01,22045,500712,0.144618,0.306659,0.106413
pkustk02,10801,410400,0.087494,0.12225,0.070656
pkustk03,63337,1596876,0.480829,0.473018,0.381533
pkustk04,55591,2137125,0.660755,0.59313,0.4548
pkustk05,37165,1121154,0.279811,0.335683,0.249053
pkustk06,43165,1307466,0.326038,0.387837,0.29593
pkustk07,16861,1217832,0.244064,0.339501,0.230243
pkustk08,22210,1624440,0.333302,0.450608,0.31545
pkustk09,33961,808800,0.239334,0.247389,0.170506
pkustk10,80677,2194830,0.632947,0.628602,0.517693
pkustk11,87805,2652858,0.681859,0.770291,0.626848
pkustk12,94654,3803485,1.060659,1.037786,0.834822
pkustk13,94894,3355860,0.978586,0.936474,0.827818
pkustk14,151927,7494215,1.711885,2.014486,1.57039
pli,22696,686502,0.211626,0.327626,0.165386
PR02R,161071,8185136,1.214118,1.165744,1.139981
Pres_Poisson,14823,365313,0.10055,0.113798,0.078874
pwtk,217919,5926171,1.651366,1.609283,1.449475
qa8fk,66128,863353,0.4124,0.269962,0.157802
qa8fm,66128,863353,0.411526,0.268794,0.157482
raefsky3,21201,1488768,0.154806,0.23008,0.150874
raefsky4,19780,674195,0.159235,0.200003,0.138307
rajat15,37262,443573,0.243027,0.123478,0.078163
rajat22,39900,197264,0.25631,0.103907,0.076368
rajat26,51033,249302,0.294525,0.129024,0.082992
ramage02,16831,1441591,0.302669,0.405587,0.285651
Reuters911,13333,148038,0.129946,0.066934,0.057571
rgg_n_2_15_s0,32769,160240,0.129139,0.106797,0.054784
rgg_n_2_22_s0,4194305,30359198,32.947163,12.448899,8.653283
ri2010,25182,62875,0.082346,0.06863,0.038666
rim,22561,1014951,0.168899,0.161101,0.130986
RM07R,381690,37464962,4.602733,5.473875,4.046496
rma10,46836,2374001,0.359245,0.351728,0.285286
roadNet-CA,1971282,2766607,7.239213,3.896816,2.671911
roadNet-PA,1090921,1541898,4.006928,2.157449,1.480461
roadNet-TX,1393384,1921660,5.080701,2.727904,1.879798
s3dkq4m2,90450,2455670,0.690883,0.685018,0.600742
s3dkt3m2,90450,1921955,0.565715,0.55985,0.582758
s4dkt3m2,90450,1921955,0.564627,0.560694,0.583955
Serena,1391350,32961525,14.104273,10.021334,10.25135
shermanACb,18511,145149,0.450118,0.061258,0.047155
ship_001,34921,2339575,0.475069,0.656666,0.433021
ship_003,121729,4103881,1.133651,1.15072,0.945696
shipsec1,140875,3977139,1.106275,1.130477,0.979552
shipsec5,179861,5146478,1.471725,1.445754,1.254803
shipsec8,114920,3384159,0.949325,0.9576,0.82824
Si10H16,17078,446500,0.131488,0.143533,0.10184
Si34H36,97570,2626974,0.784704,0.775968,0.756685
Si41Ge41H72,185640,7598452,2.106765,2.189434,1.964163
Si5H12,19897,379247,0.126838,0.131424,0.102682
Si87H76,240370,5451000,1.955072,1.684643,1.676163
sinc15,11533,568526,0.081398,0.104394,0.064874
SiO,33402,675528,0.233562,0.216291,0.181821
SiO2,155332,5719417,1.538403,1.643891,1.424051
skirt,12599,104559,0.052758,0.051728,0.026726
smallworld,100001,499998,0.512723,0.287466,0.181798
sme3Dc,42931,3148656,0.505738,0.530966,0.46689
smt,25711,1889447,0.393891,0.511853,0.348506
soc-sign-Slashdot090221,82145,549202,0.283219,0.183792,0.146544
sparsine,50001,799494,0.366608,0.316237,0.264179
srb1,54925,1508538,0.422886,0.448451,0.361232
Stanford,281904,2312497,2.998291,1.171888,0.761942
std1_Jac2,21983,1248731,0.186211,0.19599,0.159754
std1_Jac3,21983,1455848,0.205405,0.22191,0.19016
stokes128,49667,295938,0.217805,0.160166,0.084624
stokes64,12547,74242,0.044128,0.047088,0.019354
struct3,53571,613632,0.307245,0.21193,0.121498
t2dah,11446,93781,0.048432,0.046883,0.025923
t2dah_a,11446,93781,0.048323,0.045667,0.026138
t2dah_e,11446,93781,0.048573,0.046909,0.026314
t3dh,79172,2215638,0.689098,0.652326,0.600547
t3dh_a,79172,2215638,0.68903,0.652906,0.600237
t3dh_e,79172,2215638,0.690787,0.652685,0.600448
t3dl,20361,265113,0.110435,0.10007,0.054179
t3dl_a,20361,265113,0.109536,0.098611,0.054144
tandem_vtx,18455,135902,0.084554,0.069075,0.036134
ted_A,10606,424587,0.065053,0.078374,0.045024
ted_AB,10606,522387,0.071325,0.094419,0.051725
ted_AB_unscaled,10606,522387,0.072054,0.094157,0.051626
ted_A_unscaled,10606,424587,0.064531,0.077882,0.04519
ted_B_unscaled,10606,77592,0.040307,0.044406,0.020278
thread,29737,2249892,0.468317,0.62431,0.416691
tmt_sym,726714,2903837,3.43433,1.494739,1.060992
torso1,116159,8516500,1.149059,1.245616,0.750592
transient,178867,961790,3.344662,0.520845,0.389286
trdheim,22099,978711,0.21792,0.284083,0.187472
Trefethen_20000,20001,287233,0.117184,0.112544,0.067133
Trefethen_20000b,20000,287217,0.116909,0.11153,0.067315
troll,213454,6099282,1.752368,1.670102,1.527206
TSOPF_FS_b162_c1,10799,305732,0.258208,0.101158,0.070851
TSOPF_FS_b162_c3,30799,904612,0.803802,0.278586,0.178506
TSOPF_FS_b162_c4,40799,1204322,1.076874,0.36847,0.246534
TSOPF_FS_b300,29215,2203949,0.962413,0.575901,0.35239
TSOPF_FS_b300_c1,29215,2203949,0.961062,0.574906,0.352899
TSOPF_FS_b300_c2,56815,4391071,1.977347,1.186131,0.795443
TSOPF_FS_b300_c3,84415,6578753,2.941363,1.851395,1.24
TSOPF_FS_b39_c19,76217,998359,2.078659,0.384669,0.33584
TSOPF_FS_b39_c30,120217,1575639,3.399645,0.671254,0.540464
TSOPF_FS_b39_c7,28217,368599,0.717139,0.138278,0.124989
TSOPF_FS_b9_c6,14455,75801,0.30953,0.047008,0.039267
TSOPF_RS_b162_c3,15375,610299,0.085936,0.098822,0.060112
TSOPF_RS_b162_c4,20375,812749,0.114925,0.128979,0.08528
TSOPF_RS_b2052_c1,25627,6761100,0.594288,0.775149,0.721754
TSOPF_RS_b2383,38121,16171169,1.332682,1.86353,1.239514
TSOPF_RS_b2383_c1,38121,16171169,1.333334,1.859776,1.234144
TSOPF_RS_b300_c1,14539,1474325,0.14447,0.194035,0.115386
TSOPF_RS_b300_c2,28339,2943887,0.314096,0.367965,0.240022
TSOPF_RS_b300_c3,42139,4413449,0.46815,0.559411,0.371619
TSOPF_RS_b39_c19,38099,684206,0.14879,0.143005,0.11568
TSOPF_RS_b39_c30,60099,1079986,0.261763,0.23912,0.186387
TSOPF_RS_b39_c7,14099,252446,0.050861,0.05673,0.032365
TSOPF_RS_b678_c1,18697,4396289,0.385958,0.501648,0.329405
TSOPF_RS_b678_c2,35697,8781949,0.735536,1.000346,0.623411
tsyl201,20686,1237821,0.253021,0.360608,0.220733
tube1,21499,459277,0.130682,0.148154,0.114765
tube2,21499,459277,0.129779,0.149741,0.114854
turon_m,189925,912345,0.875856,0.522438,0.363466
usroads,129165,165435,0.452102,0.279766,0.179302
usroads-48,126147,161950,0.441392,0.273485,0.17584
vanbody,47073,1191985,0.355168,0.343523,0.299686
venturiLevel3,4026820,8054237,14.317232,9.219472,6.437078
vibrobox,12329,177578,0.073552,0.075331,0.041066
viscorocks,37763,1162244,0.222493,0.187459,0.131542
vsp_barth5_1Ksep_50in_5Kout,32213,101805,0.113238,0.101034,0.052803
vsp_bcsstk30_500sep_10in_1Kout,58349,2016578,0.685722,0.710182,0.681923
vsp_befref_fxm_2_4_air02,14110,98224,0.102595,0.053427,0.044918
vsp_bump2_e18_aa01_model1_crew1,56439,300801,0.247091,0.170352,0.117078
vsp_c-30_data_data,11024,62184,0.103197,0.040506,0.03456
vsp_c-60_data_cti_cs4,85831,241080,0.344211,0.197734,0.134262
vsp_finan512_scagr7-2c_rlfddd,139753,552020,0.61385,0.360282,0.277782
vsp_mod2_pgp2_slptsk,101365,389368,0.451558,0.279757,0.182464
vsp_model1_crew1_cr42_south31,45102,189976,0.966109,0.12736,0.086902
vsp_msc10848_300sep_100in_1Kout,21997,1221028,0.338022,0.406694,0.360342
vsp_p0291_seymourl_iiasa,10499,53868,0.042131,0.040464,0.019658
vsp_sctap1-2b_and_seymourl,40175,140831,0.208685,0.112714,0.081363
vsp_south31_slptsk,39669,189914,0.943254,0.123334,0.080822
vsp_vibrobox_scagr7-2c_rlfddd,77329,435586,0.333866,0.303427,0.173248
vt2010,32581,77799,0.106749,0.090522,0.050717
wathen100,30402,251001,0.142189,0.10496,0.060656
wathen120,36442,301101,0.172752,0.123728,0.071843
web-Google,916429,5105039,3.911847,2.950502,2.09225
web-NotreDame,325730,1497134,1.119622,0.795878,0.498499
wikipedia-20051105,1634990,19753078,9.781927,7.039344,5.868378
wikipedia-20060925,2983495,37269096,19.343981,14.6732,12.205062
wikipedia-20061104,3148441,39383235,20.540583,15.609695,13.002375
wikipedia-20070206,3566908,45030389,23.617069,18.083443,15.111485
wiki-Talk,2394386,5021410,10.99736,4.040634,3.330285
windscreen,22693,752541,0.174502,0.230726,0.156368
wing_nodal,10938,75488,0.046947,0.050675,0.026566
wy2010,86205,213793,0.336387,0.195197,0.131946
x104,108385,5138004,1.180125,1.421242,1.05199
Zd_Jac2,22836,1642833,0.216438,0.23768,0.204467
ogb,2449029,126167053,952.966691,1057.307902,
